DATE,WILLMIDCAP
2003-09-10,28697.61
2003-09-11,28872.98
2003-09-12,28990.41
2003-09-15,28969.02
2003-09-16,29332.25
2003-09-17,29299.31
2003-09-18,29591.54
2003-09-19,29631.75
2003-09-22,29291.77
2003-09-23,29472.17
2003-09-24,29003.45
2003-09-25,28697.12
2003-09-26,28366.75
2003-09-29,28680.13
2003-09-30,28522.59
2003-10-01,29040.34
2003-10-02,29246.87
2003-10-03,29639.49
2003-10-06,29832.24
2003-10-07,29992.13
2003-10-08,29914.01
2003-10-09,30107.91
2003-10-10,30125.77
2003-10-13,30406.72
2003-10-14,30503.62
2003-10-15,30304.59
2003-10-16,30454.79
2003-10-17,30065.96
2003-10-20,30115.07
2003-10-21,30264.88
2003-10-22,29805.08
2003-10-23,29771.06
2003-10-24,29677.24
2003-10-27,29952.05
2003-10-28,30383.20
2003-10-29,30611.02
2003-10-30,30625.13
2003-10-31,30697.47
2003-11-03,31043.96
2003-11-04,31009.14
2003-11-05,31029.85
2003-11-06,31205.75
2003-11-07,31273.64
2003-11-10,30896.86
2003-11-11,30788.46
2003-11-12,31332.33
2003-11-13,31414.18
2003-11-14,31116.08
2003-11-17,30796.21
2003-11-18,30533.78
2003-11-19,30643.78
2003-11-20,30469.12
2003-11-21,30572.22
2003-11-24,31180.35
2003-11-25,31409.58
2003-11-26,31547.76
2003-11-27,.
2003-11-28,31690.22
2003-12-01,32091.97
2003-12-02,32017.78
2003-12-03,31788.29
2003-12-04,31662.10
2003-12-05,31429.48
2003-12-08,31629.47
2003-12-09,31267.37
2003-12-10,31030.54
2003-12-11,31560.37
2003-12-12,31647.95
2003-12-15,31312.02
2003-12-16,31336.31
2003-12-17,31385.38
2003-12-18,31812.38
2003-12-19,31790.47
2003-12-22,31928.16
2003-12-23,32066.21
2003-12-24,32059.31
2003-12-25,.
2003-12-26,32129.06
2003-12-29,32512.47
2003-12-30,32562.79
2003-12-31,32460.11
2004-01-01,.
2004-01-02,32409.90
2004-01-05,32742.45
2004-01-06,32856.02
2004-01-07,32905.95
2004-01-08,33082.80
2004-01-09,33028.05
2004-01-12,33189.68
2004-01-13,33041.40
2004-01-14,33263.86
2004-01-15,33329.67
2004-01-16,33665.28
2004-01-19,.
2004-01-20,33874.30
2004-01-21,33939.01
2004-01-22,33822.28
2004-01-23,33811.38
2004-01-26,34068.31
2004-01-27,33854.28
2004-01-28,33355.31
2004-01-29,33211.50
2004-01-30,33394.86
2004-02-02,33427.60
2004-02-03,33367.21
2004-02-04,32956.06
2004-02-05,33065.60
2004-02-06,33648.17
2004-02-09,33750.45
2004-02-10,33955.86
2004-02-11,34286.88
2004-02-12,34182.02
2004-02-13,34006.89
2004-02-16,.
2004-02-17,34339.62
2004-02-18,34267.58
2004-02-19,33996.96
2004-02-20,33767.19
2004-02-23,33415.08
2004-02-24,33377.20
2004-02-25,33659.23
2004-02-26,33915.62
2004-02-27,34135.37
2004-03-01,34637.08
2004-03-02,34571.66
2004-03-03,34514.98
2004-03-04,34692.85
2004-03-05,34829.66
2004-03-08,34471.30
2004-03-09,34154.44
2004-03-10,33581.52
2004-03-11,33194.26
2004-03-12,33716.45
2004-03-15,33150.31
2004-03-16,33260.82
2004-03-17,33737.02
2004-03-18,33634.90
2004-03-19,33432.99
2004-03-22,32888.24
2004-03-23,32946.06
2004-03-24,32810.51
2004-03-25,33430.01
2004-03-26,33460.83
2004-03-29,33896.18
2004-03-30,34175.00
2004-03-31,34307.86
2004-04-01,34598.10
2004-04-02,34878.06
2004-04-05,35037.62
2004-04-06,34842.89
2004-04-07,34820.95
2004-04-08,34669.05
2004-04-09,.
2004-04-12,34636.52
2004-04-13,34085.91
2004-04-14,33883.80
2004-04-15,33864.59
2004-04-16,34041.98
2004-04-19,34164.56
2004-04-20,33676.56
2004-04-21,33907.44
2004-04-22,34452.40
2004-04-23,34356.28
2004-04-26,34228.30
2004-04-27,34157.99
2004-04-28,33641.35
2004-04-29,33137.93
2004-04-30,32847.23
2004-05-03,33128.38
2004-05-04,33262.02
2004-05-05,33441.27
2004-05-06,33025.03
2004-05-07,32310.08
2004-05-10,31729.96
2004-05-11,32161.19
2004-05-12,32116.45
2004-05-13,32176.70
2004-05-14,32110.91
2004-05-17,31722.44
2004-05-18,32037.30
2004-05-19,31992.46
2004-05-20,31990.73
2004-05-21,32180.63
2004-05-24,32481.77
2004-05-25,33084.98
2004-05-26,33309.52
2004-05-27,33473.40
2004-05-28,33665.28
2004-05-31,.
2004-06-01,33709.81
2004-06-02,33781.96
2004-06-03,33364.31
2004-06-04,33588.22
2004-06-07,34162.41
2004-06-08,34139.17
2004-06-09,33738.85
2004-06-10,33786.81
2004-06-11,.
2004-06-14,33372.07
2004-06-15,33755.84
2004-06-16,33827.14
2004-06-17,33830.69
2004-06-18,33877.11
2004-06-21,33830.94
2004-06-22,34010.85
2004-06-23,34369.29
2004-06-24,34299.24
